"runnerUri","fullname","time","rank","nationality","nationalityCode","index","ageGroup","gender"
"492303.peter.liljenfors","Peter LILJENFORS","32:25:15",18,"Sweden","SE",,"55-59","H"
"1779567.margaretha.josefsson","Margaretha JOSEFSSON",,,"Sweden","SE",,"55-59","F"
"2271339.joakim.melander","Joakim MELANDER",,,"Sweden","SE",,"35-39","H"
"4238881.josef.djerf","Josef DJERF",,,"Sweden","SE",,"35-39","H"
"4487686.magnus.jensen","Magnus JENSEN",,,"Sweden","SE",,"40-44","H"
"437963.fredrik.norlin","Fredrik NORLIN",,,"Sweden","SE",,"45-49","H"
"4487688.andreas.wikstrand","Andreas WIKSTRAND",,,"Sweden","SE",,"45-49","H"
"830166.martin.blohm","Martin BLOHM",,,"Sweden","SE",,"45-49","H"
"689972.viktor.stenqvist","Viktor STENQVIST","09:23:29",1,"Sweden","SE",,"20-34","H"
"2284977.sebastian.sundius","Sebastian SUNDIUS","10:18:45",2,"Sweden","SE",,"20-34","H"
"3378517.per.bodinhansen","Per BODIN HANSEN","11:08:14",3,"Sweden","SE",,"35-39","H"
"4487692.svante.midander","Svante MIDANDER","11:50:00",4,"Sweden","SE",,"20-34","H"
"1036675.anna.stahlkloo","Anna STÅHLKLOO","12:00:54",5,"Sweden","SE",,"45-49","F"
"1087911.robert.berg","Robert BERG","12:06:49",6,"Sweden","SE",,"45-49","H"
"3335691.nicolas.delvecchio","Nicolas DEL VECCHIO","12:12:51",7,"France","FR",,"20-34","H"
"4238888.jacob.kullgren","Jacob KULLGREN","13:33:32",8,"Sweden","SE",,"40-44","H"
"4487694.magnus.svensson","Magnus SVENSSON","14:08:13",9,"Sweden","SE",,"45-49","H"
"1843319.katarina.persson","Katarina PERSSON","14:14:08",10,"Sweden","SE",,"50-54","F"
"4487696.petter.sodergren","Petter SÖDERGREN","14:31:08",11,"Sweden","SE",,"45-49","H"
"2114577.thomas.gottlind","Thomas GOTTLIND","14:51:09",12,"Sweden","SE",,"40-44","H"
"2291889.tomas.kvapil","Tomas KVAPIL","15:29:30",13,"Sweden","SE",,"50-54","H"
"2271121.sami.maliniemi","Sami MALINIEMI","15:30:31",14,"Sweden","SE",,"50-54","H"
"4674295.therese.carlsson","Therese CARLSSON","15:34:59",15,"Sweden","SE",,"45-49","F"
"3789261.tomoshi.saito","Tomoshi SAITO","15:50:20",16,"Japan","JP",,"35-39","H"
"4193773.linda.lundback","Linda LUNDBACK","15:53:14",17,"Sweden","SE",,"45-49","F"
"3852833.stefan.sager","Stefan SAGER","16:24:11",18,"Sweden","SE",,"45-49","H"
"4381142.carina.gustavsson","Carina GUSTAVSSON","16:24:11",19,"Sweden","SE",,"40-44","F"
"4238862.mathias.eichelkraut","Mathias EICHELKRAUT","16:26:37",20,"Sweden","SE",,"35-39","H"
"2572703.omer.dzafo","Omer DZAFO","16:32:03",21,"Sweden","SE",,"50-54","H"
"4487700.catherine.hicks","Catherine HICKS","16:32:03",22,"United Kingdom","GB",,"20-34","F"
"533121.sofia.kay","Sofia KAY","16:32:03",23,"Sweden","SE",,"45-49","F"
"2225123.elma.kablar","Elma KABLAR","16:32:03",24,"Bosnia and Herzegovina","BA",,"40-44","F"
"671815.perjohan.svensson","Per Johan SVENSSON","16:32:03",25,"Sweden","SE",,"45-49","H"
"360912.johan.lantz","Johan LANTZ","04:03:25",1,"Sweden","SE",,"20-34","H"
"2257665.william.englund","William ENGLUND","04:12:29",2,"Sweden","SE",,"20-34","H"
"496499.tobias.johansson","Tobias JOHANSSON","04:14:06",3,"Sweden","SE",,"20-34","H"
"1003151.simon.bloss","Simon BLOSS","04:15:15",4,"Sweden","SE",,"20-34","H"
"4487712.mattias.westman","Mattias WESTMAN","04:29:39",5,"Sweden","SE",,"35-39","H"
"4193260.helene.soderlund","Helene SÖDERLUND","04:41:17",6,"Sweden","SE",,"35-39","F"
"1537951.martin.anderberg","Martin ANDERBERG","04:59:38",7,"Sweden","SE",,"45-49","H"
"4487714.oskar.lundqvist","Oskar LUNDQVIST","05:12:14",8,"Sweden","SE",,"20-34","H"
"4487716.cajsa.berg","Cajsa BERG","05:15:39",9,"Sweden","SE",,"40-44","F"
"2194053.joakim.nordfeldt","Joakim NORDFELDT","05:16:26",10,"Sweden","SE",,"40-44","H"
"3394699.tomas.selkman","Tomas SELKMAN","05:20:57",11,"Sweden","SE",,"40-44","H"
"4200881.caroline.lindberg","Caroline LINDBERG","05:21:47",12,"Sweden","SE",,"35-39","F"
"4487718.anna.larsson","Anna LARSSON","05:27:10",13,"Sweden","SE",,"35-39","F"
"1003683.adam.ekstedt","Adam EKSTEDT","05:30:26",14,"Sweden","SE",,"20-34","H"
"4487720.anton.ohman","Anton ÖHMAN (Anton OHMAN)","05:31:55",15,"Sweden","SE",,"20-34","H"
